,bath,bed,furnished,price,size,street,where
0,,1.0,1,3950,724,505 West 37th Street #18B,Midtown West
1,2.0,,1,14000,,2 Jones Street #401,West Village
2,1.0,,0,2895,,364 West 18th Street #1F,
3,1.0,,1,2250,,43 E 1st Street #15,East Village
4,1.0,1.0,0,2750,750,564 Morgan Avenue #1R,Greenpoint
5,1.0,,0,2815,,400 East 57th Street #9R,
6,1.0,2.0,0,2599,850,41-49 45th Street #2A,Sunnyside
7,1.0,,0,3915,490,105 W 29th Street #36A,Chelsea
8,1.0,1.0,0,3610,683,175 Kent Avenue #515,Williamsburg
9,1.0,1.0,0,3750,666,305 West 50th Street #8E,Midtown West
10,1.0,3.0,0,3000,1000,254 Manhattan Avenue #3A,Central Harlem
11,1.0,2.0,0,4895,,2 West 16th Street #PFR,
12,1.0,1.5,0,2900,,98 Franklin Street #3,Greenpoint
13,1.0,1.0,0,4495,,20 Park Avenue #10F,
14,1.0,,0,2695,,400 E 66th Street #8A,Lenox Hill
15,1.0,2.0,0,4350,,166 East 34th Street #802,Kips Bay
16,1.0,1.0,0,4495,,20 Park Avenue #10F,
17,1.0,,0,3600,928,10-40 River Road #6J,Roosevelt Island
18,1.0,1.0,0,3000,,230 West 107th Street #1I,
19,3.5,2.0,0,35000,2241,15 Central Park West #10G,Lincoln Square
20,2.0,2.0,0,5500,,29 Joralemon Street #DUPLEX,Brooklyn Heights
21,1.0,2.0,0,1885,,112 Saint Nicholas Avenue #2L,Bushwick
22,1.0,2.0,0,2300,,336 Chauncey Street #3A,Stuyvesant Heights
23,1.0,2.0,0,2300,,336 Chauncey Street #3A,Stuyvesant Heights
24,1.0,2.0,0,2600,,133 West 116th Street #2A,Central Harlem
25,1.0,1.0,0,3495,,246 Mott Street #17,Nolita
26,1.0,1.0,0,2695,,219 E 23rd Street #2,Kips Bay
27,2.0,3.0,0,2550,,55 Linden Boulevard #1T,Flatbush
28,1.0,2.0,0,3450,1000,43 7th Avenue #4,Park Slope
29,1.0,2.0,0,2200,,987 Jefferson Avenue #GARDEN,Stuyvesant Heights
30,2.0,2.0,0,4400,1250,36 Conselyea Street #33,Williamsburg
31,2.5,3.0,0,8245,,350 East 79th Street #20C,Upper East Side
32,1.0,,0,3646,,101 West 15th Street #518,
33,1.0,1.0,0,1550,,199 Linden #11D,Bushwick
34,1.0,,0,2800,,201 West 71st Street #5J,Lincoln Square
35,1.0,1.0,0,3200,,382 Central Park West #17H,Upper West Side
36,1.0,2.0,0,1600,,2323 East 12th Street #4F,
37,1.0,2.0,0,1600,,2365 East 13th Street #5W,
38,1.0,1.0,0,1600,,2245 Ocean Parkway #5G,
39,2.0,4.0,0,3150,1000,55 Linden Boulevard #2J,Flatbush
40,1.0,,0,1490,,170 Hawthorne #6E,Prospect Lefferts Gardens
41,1.0,0.0,0,2750,,75 Wall Street #22I,Financial District
42,2.0,3.0,0,7604,,450 North End Avenue #18E,Battery Park City
43,1.0,,0,2100,600,322 West 104 #2F,Upper West Side
44,1.0,1.0,0,1900,,3692 Bedford Avenue #6C,
45,1.5,1.0,0,2650,,465 Columbus Avenue #8A,Upper West Side
46,1.0,2.0,0,1650,,1230 Avenue X #1F,
47,1.0,2.0,0,2596,,112 Mulberry Street #13,Little Italy
48,,,0,1800,,415 West 24th Street #1F,West Chelsea
49,1.0,1.0,0,1550,,1869 83rd Street #2H,Bensonhurst
50,1.0,1.0,0,2000,,590 Monroe Street #1,Bedford-Stuyvesant
51,1.0,,0,1995,,700 East 9th Street #24,
52,3.0,4.0,0,3100,,58-49 213rd Street ,Bayside
53,1.0,2.0,0,1950,,53-01 32nd Avenue #1G,Woodside
54,1.0,2.0,0,2699,800,370 W 52nd Street #4A,
55,1.0,,0,1600,425,211 W. 146th Street #2C,Central Harlem
56,1.0,2.0,0,4967,,301 E 47 #19G,
57,2.0,1.0,0,2577,,83-30 Kew Gardens Rd #2F,Kew Gardens
58,1.0,1.0,0,2495,,645 Second Avenue #5,
59,1.0,1.0,0,2145,,1688 York Avenue #2,
60,1.0,1.0,0,2145,,1688 York Avenue #2,
61,2.0,3.0,0,1999,,558 Ridgewood Avenue #3,East New York
62,1.0,2.0,0,2400,,31-06 38th Street #6,Astoria
63,2.0,3.0,0,1999,,558 Ridgewood Avenue #2,East New York
64,2.0,2.0,0,2700,,3111 Ocean Parkway #3,Brighton Beach
65,2.0,2.0,0,1700,,558 Ridgewood Avenue #1,East New York
66,1.0,1.0,0,1949,,678 Flatbush Avenue #3,Prospect Lefferts Gardens
67,1.0,1.5,0,2900,,111 Milton Street #1,Greenpoint
68,1.0,,1,3500,600,20 Pine Street #1905,
69,1.0,2.0,0,1950,,475 Ocean Avenue #2,Flatbush
70,1.0,3.0,0,4295,,410 E 13th Street #2A,East Village
71,2.0,2.0,0,5295,,310 Greenwich Street #7N,Tribeca
72,2.0,3.0,0,2850,,1582 Union Street #1,Crown Heights
73,1.0,3.0,0,5500,1000,520 East 12th Street #1B,East Village
74,1.0,1.0,0,1900,,133 Ft George #3C,Fort George
75,1.5,3.0,0,3200,,611 W.148th Street #45,Hamilton Heights
76,1.0,1.0,0,1650,600,700 West 176th Street #3B,Hudson Heights
77,2.0,4.0,0,3650,,810 Saint Johns Place #4A,Crown Heights
78,2.0,2.0,0,5723,,41 River Terrace #308,Battery Park City
79,1.0,1.0,0,3475,,4705 Center Boulevard #1904,Hunters Point
80,1.0,1.0,0,2764,,200 Water Street #806,Fulton/Seaport
81,1.0,1.0,0,3601,,41 River Terrace #3307,Battery Park City
82,2.0,2.0,0,4801,,41 River Terrace #1204,Battery Park City
83,1.0,1.0,0,3500,,4705 Center Boulevard #2913,Hunters Point
84,1.0,,0,2795,,7 East 14th Street #1204,Flatiron
85,1.0,1.0,0,2541,,41-42 24th Street #1108,Long Island City
86,2.0,,0,4846,,200 Water Street #310,Fulton/Seaport
