,bath,bed,furnished,monthly,price,size,street,where
0,3.0,3.0,0,0,1749000,,345 East 69th Street #17GH,Lenox Hill
1,1.0,,0,0,310000,,332 East 77th Street #15,Upper East Side
2,2.5,3.0,0,0,5500000,2492,124 Hudson Street #4A,Tribeca
3,1.0,1.0,0,0,215000,720,35-51 85th Street #8B,
4,2.5,3.0,0,0,1495000,1260,694 De Graw Street #1,Park Slope
5,3.0,3.0,0,0,1595000,2550,80 North Henry Street ,Greenpoint
6,1.0,1.0,0,0,1350000,850,60 East 8th Street #26F,Greenwich Village
7,1.0,1.0,0,0,1200000,600,219 West 14th Street #5R,Chelsea
8,3.0,3.0,0,0,778000,1900,1964 West 9th Street #1,Gravesend
9,1.0,1.0,0,0,475000,950,303 Beverley Road #10E,Kensington
10,1.0,1.0,0,0,875000,718,70 Berry Street #4B,Williamsburg
11,1.0,1.0,0,0,965000,732,88 Greenwich Street #907,Financial District
12,3.5,3.0,0,0,8975000,2924,520 West 28th Street #16,West Chelsea
13,,3.0,1,0,3250000,1892,129 N 3rd Street - #135 ,Williamsburg
14,1.5,2.0,0,0,1199000,1100,30 West Street #2C,Battery Park City
15,2.0,2.0,0,0,1900000,1153,230 Riverside Drive #7A,Upper West Side
16,1.0,1.0,0,0,1375000,732,27 W 72nd Street #1408,Upper West Side
17,1.0,1.0,0,0,299000,800,37-39 84th Street #100,Jackson Heights
18,2.0,2.0,0,0,1250000,,308 East 79th Street #12LM,Upper East Side
19,1.0,1.0,0,0,949000,738,99 John Street #2108,Fulton/Seaport
20,1.0,2.0,0,0,1095000,950,150 East 56th Street #4E,Midtown East
21,1.0,1.0,0,0,419000,,47-55 39th Place #4D,Sunnyside
22,1.0,1.0,0,0,689000,700,100 Beekman Street #11H,Fulton/Seaport
23,2.0,2.0,0,0,995000,,312 East 23rd Street #2A,Gramercy Park
24,2.0,2.0,0,0,900000,956,188 Woodpoint Road #PHB,Williamsburg
25,1.0,1.0,0,0,895000,873,130 Water Street #10D,Financial District
26,1.0,2.0,0,0,1275000,1100,55 East 76th Street #15,Upper East Side
27,1.0,,0,0,599000,509,214 N 11th Street #4H,Williamsburg
28,1.0,,0,0,1380000,1100,20 Pine Street #1710,Financial District
29,2.5,2.0,0,0,6395000,2147,520 West 28th Street #19,West Chelsea
30,1.5,1.0,0,0,1750000,954,247 West 46th Street #2004,Midtown
31,2.0,2.0,0,0,1799000,1134,330 E 38th Street #44K,Murray Hill
32,1.0,1.0,0,0,698000,,892 Bergen Street #7B,Crown Heights
33,1.5,1.0,0,0,1325000,,1438 Third Avenue #21B,Upper East Side
34,2.0,7.0,0,0,594000,3000,3272 Decatur Avenue ,Norwood
35,1.0,2.0,0,0,575000,,870 Riverside Drive #3E,Washington Heights
36,2.0,2.0,0,0,1825000,1202,166 East 63rd Street #2J,Lenox Hill
37,4.5,13.0,0,0,925000,3838,1844 81st Street ,Bensonhurst
38,2.0,4.0,0,0,449000,2166,404 Wortman Avenue ,
39,1.0,1.0,0,0,167000,,5700 Arlington Avenue #15A,Riverdale
40,6.0,9.0,0,0,1195000,2886,1198 Decatur Street ,
41,1.0,2.0,0,0,485000,720,66 Overlook Terrace #2N,Hudson Heights
42,3.5,4.0,0,0,5887000,2424,235 West 75th Street #505,Upper West Side
43,2.5,3.0,0,0,5750000,3200,28 Laight Street #2A,Tribeca
44,1.0,1.0,0,0,1090000,677,540 West 49th Street #607S,Midtown West
45,1.5,3.0,0,0,419000,2100,1473 East 59th Street ,Flatlands
46,1.0,1.0,0,0,425000,,415 East 80th Street #5L,Yorkville
47,1.0,2.0,0,0,525000,1038,1155 Ocean Avenue #2F,Ditmas Park
48,1.0,1.0,0,0,319000,,9453 Ridge Boulevard #2B,Fort Hamilton
49,1.0,1.0,0,0,239000,900,118-11 84th Avenue #211,Kew Gardens
50,1.0,1.0,0,0,178000,,123-25 82nd Avenue #3V,Kew Gardens
51,2.0,2.0,0,0,1565000,,14 Sutton Place South 1B-MAIS,Sutton Place
52,2.0,3.0,0,0,1200000,,1775 East 17th Street #PH,Homecrest
53,5.0,6.0,0,0,12900000,3696,70 Bethune Street #TH,West Village
54,1.0,3.0,0,0,925000,1700,1775 East 17th Street #5,Homecrest
55,1.0,1.0,0,0,1195000,764,300 East 23rd Street #8C,Gramercy Park
56,2.0,4.0,0,0,759000,,60-43 56th Drive ,Maspeth
57,2.5,2.0,0,0,2075000,1369,51 Jay Street #5B,DUMBO
58,1.0,3.0,0,0,850000,1700,1775 East 17th Street #2,Homecrest
59,5.0,4.0,0,0,4250000,,556 East 87th Street ,Yorkville
60,4.0,7.0,0,0,1100000,,149 17th Street ,Greenwood
61,1.0,2.0,0,0,1025000,,250 West 75th Street #5C,Upper West Side
62,1.0,1.0,0,0,159000,,83-55 Lefferts Boulevard #4F,Kew Gardens
63,1.5,2.0,0,0,1175000,887,400 East 54th Street #17B,Sutton Place
64,1.0,2.0,0,0,215000,,144-66 Village Rd #75GB,Kew Gardens Hills
65,1.0,1.0,0,0,549000,,301 East 75th Street #14G,Upper East Side
66,1.0,1.0,0,0,185000,750,138-37 Jewel Avenue #1C,Kew Gardens Hills
67,2.0,3.0,0,0,1088000,2550,548 80th Street ,Bay Ridge
68,1.0,1.0,0,0,495000,780,100-25 Queens Boulevard #7H,Forest Hills
69,1.0,2.0,0,0,610000,,423 15th Street #1C,Park Slope
70,6.0,9.0,0,0,5300000,,6 West 95th Street #1,Upper West Side
71,2.0,2.0,0,0,1325000,1175,22 Montgomery Place #1,Park Slope
72,1.0,2.0,0,0,214888,800,191-15 39th Avenue #170,Flushing
73,1.0,,0,0,395000,350,327 W 85th Street #1C,Upper West Side
74,2.5,2.0,0,0,2650000,1575,160 Central Park S #1709,Central Park South
75,4.0,6.0,0,0,1750000,3700,100 Bennett Avenue #3CD4CD,Hudson Heights
76,3.5,3.0,0,0,8975000,2924,520 West 28th Street #16,West Chelsea
77,2.0,2.0,0,0,2975000,,14 West 17th Street #4N,Flatiron
78,1.0,2.0,0,0,949000,842,53 Boerum Place #9J,Downtown Brooklyn
79,1.0,1.0,0,0,650000,,203 West 102nd Street #2F,Manhattan Valley
80,1.0,,0,0,375000,500,512 East 83rd Street #4A,Yorkville
81,2.0,2.0,0,0,1450000,1245,55 Berry Street #4G,Williamsburg
82,1.0,1.0,0,0,299000,,525 Ocean Parkway #4D,Kensington
83,2.0,5.0,0,0,780000,1582,2412 McDonald Avenue ,Gravesend
84,3.0,3.0,0,0,5500000,2061,101 Warren Street #9A,Tribeca
85,1.0,1.0,0,0,2495000,817,502 Park Avenue #11E,Lenox Hill
86,3.0,4.0,0,0,1599000,,120 Marcus Garvey Boulevard MIX-USE,Stuyvesant Heights
87,1.0,1.0,0,0,635000,,320 East 57th Street #1B,Sutton Place
88,1.0,,0,0,375000,,343 East 51st Street #2B,Turtle Bay
89,1.0,1.0,0,0,2200000,1150,114 East 13th Street #6A,East Village
90,2.0,2.0,0,0,1550000,1244,324 East 4th Street #1A,East Village
91,1.0,1.0,0,0,775000,,165 Christopher Street #2D,West Village
92,6.0,12.0,0,0,1800000,4788,2032 Bay Ridge Avenue ,Bensonhurst
93,1.0,1.0,0,0,419000,,47 Reeve Place #9,Windsor Terrace
94,2.5,7.0,0,0,1425000,3100,151 Cooper Street ,Bushwick
95,6.0,6.0,0,0,1899000,4050,855 Knickerbocker Avenue ,Bushwick
96,3.0,3.0,0,0,2750000,1722,404 East 76th Street #14A,Upper East Side
97,1.0,2.0,0,0,925000,,100 Beekman Street #10D,Fulton/Seaport
98,2.0,2.0,0,0,1340000,946,120 West 58th Street #4D,Midtown
99,3.0,3.0,0,0,5495000,2964,18 Leonard Street #1C,Tribeca
100,2.0,2.0,0,0,1499000,1280,211 North 5th Street #3A,Williamsburg
101,3.0,5.0,0,0,630000,,68 East  54th ,Northeast Flatbush
102,2.5,2.0,0,0,3900000,1605,177 9th Avenue #4B,West Chelsea
103,1.0,,0,0,810000,549,220 Riverside Boulevard #10W,Lincoln Square
104,1.0,1.0,0,0,800000,794,1810 Third Avenue #B7B,East Harlem
105,1.0,1.0,0,0,860000,925,425 East 79th Street #12G,Yorkville
106,2.0,2.0,0,0,1480000,1234,5-19 Borden Avenue #4A,Hunters Point
107,1.0,,0,0,389000,,457 West 57th Street #1116,Midtown West
108,2.5,3.0,0,0,3095000,2250,85 North 3rd Street #505,Williamsburg
109,2.0,3.0,0,0,475000,1650,3636 Greystone Avenue #5BC,Riverdale
110,2.0,1.0,0,0,1495000,960,525 Park Avenue #14E,Lenox Hill
111,1.0,,0,0,675000,,2 Horatio Street #5E,West Village
112,8.5,6.0,0,0,22000000,10897,3 Riverside Drive #1,Upper West Side
113,3.0,5.0,0,0,1249000,1880,111 Beadel Street ,East Williamsburg
114,1.0,1.0,0,0,255000,,112-50 78th Avenue #2H,Forest Hills
115,1.5,3.0,0,0,775000,,2177 E 19th Street ,Sheepshead Bay
116,2.0,2.0,0,0,3125000,2125,123 Prince Street #2NDFLR,Soho
117,1.0,3.0,0,0,380000,,941 Jerome Avenue #6C,Highbridge
118,3.0,5.0,0,0,649000,1875,585 Glenmore Avenue ,East New York
119,2.0,2.0,0,0,1375000,,160 West 87th Street #2B,Upper West Side
120,7.0,16.0,0,0,1100000,4500,1525 Plimpton Avenue #1-4,Bronx
121,1.0,1.0,0,0,399000,775,4 Dartmouth #2F,Forest Hills
122,1.0,1.0,0,0,1225000,,410 West 24th Street #6J,West Chelsea
123,1.0,1.0,0,0,1495000,645,250 Bowery #3C,Nolita
124,3.0,3.0,0,0,2500000,,60 Sutton Place South #9CN,Sutton Place
125,5.0,6.0,0,0,1888800,3136,235 W 136th Street ,Central Harlem
126,1.5,2.0,0,0,959000,1756,817 Dekalb Avenue #1,Bedford-Stuyvesant
127,1.5,1.0,0,0,1410000,884,330 East 38th Street #30P,Murray Hill
128,2.0,2.0,0,0,700000,737,2132 Second Avenue #2D,East Harlem
129,4.0,5.0,0,0,1095000,3150,1346 Prospect Place ,Weeksville
130,1.0,1.0,0,0,650000,,433 West 24th Street #LC,West Chelsea
131,2.5,2.0,0,0,4999000,2016,845 United Nations Plaza #58A,Turtle Bay
132,1.0,1.0,0,0,400000,,66-36 Yellowstone Boulevard #17E,Forest Hills
133,1.0,,0,0,799000,550,7 Lexington Avenue #6E,Gramercy Park
134,1.0,,0,0,535000,,312 West 23rd Street #2O,Chelsea
135,1.0,1.0,0,0,879000,,240 East 15th Street #8,Gramercy Park
136,1.0,1.0,0,0,1260000,769,225 East 34th Street #16D,Murray Hill
137,1.0,1.0,0,0,759000,,222 East 80th Street #10E,Yorkville
138,2.0,2.0,0,0,1695000,,360 East 72nd Street #A1510,Lenox Hill
139,1.0,1.0,0,0,495000,,32 West 82nd Street #2E,Upper West Side
140,1.0,,0,0,765000,796,79 Bridge Street #4F,Vinegar Hill
141,1.0,1.0,0,0,998000,780,250 East 40th Street #7E,Murray Hill
142,2.0,2.0,0,0,1495000,,32 West 82nd Street #2B,Upper West Side
143,1.5,2.0,0,0,2895000,1812,112 East 19th Street #3F,Gramercy Park
144,3.0,3.0,0,0,599000,,3037 Voorhies #3,Sheepshead Bay
145,8.0,16.0,0,0,3999000,6720,618 Marlborough Road ,Ditmas Park
146,1.0,2.0,0,0,999000,,299 Pearl Street #4G,Fulton/Seaport
147,1.0,1.0,0,0,147000,,71-48 252nd Street #UPPER,Glen Oaks Village
148,1.0,,0,0,795000,,16 West 16th Street #12MS,Flatiron
149,1.0,1.0,0,0,1195000,,410 West 24th Street #7K,West Chelsea
150,3.5,4.0,0,0,1465000,2471,748 Lafayette Avenue ,Bedford-Stuyvesant
